Course Name,Key Takeaways,Course Time,Ratings,Difficulty,Description,Website
Machine Learning Starter Program,"Help you understand how this field is transforming and disrupting industries, Understand machine learning algorithms and apply them to solve real world problems, Enhance and complement your learning through real life projects, We believe in a holistic learning approach and that's how we've curated the Machine Learning Starter Program",Starter Program For Beginners,Immediate Effect,Hands-on Approach,We generate more than 2.5 quintillion bytes of data every day - and companies across the globe are hiring data scientists to make sense of this data.,https://courses.analyticsvidhya.com/bundles/machine-learning-starter-program
Jazz Up Data Science Knowledge with Tips & Python Hacks,No key takeaways found,Course time not found,Ratings not found,Difficulty level not found,"The Data Science Hacks, Tips and Tricks course is your one stop destination to become a better and more efficient data scientist!",https://courses.analyticsvidhya.com/courses/data-science-hacks-tips-and-tricks
Introduction to Business Analytics for professionals,No key takeaways found,1 Hour,4.6/5,Beginner ,Getting Started with Business Analytics,https://courses.analyticsvidhya.com/courses/introduction-to-analytics
Advanced Pytorch Tutorial for Deep learning-Analytics Vidhya,No key takeaways found,1 Hour,4.6/5,Beginner ,Welcome to the world of PyTorch - a deep learning framework that has changed and re-imagined the way we build deep learning models.,https://courses.analyticsvidhya.com/courses/introduction-to-pytorch-for-deeplearning
Introductory Data Science for Business Managers,"Phone - 10 AM - 6 PM (IST) on Weekdays (Mon - Fri) on +91-8368808185, Email [email protected] (revert in 1 working day), Live interactive chat sessions on Monday to Friday between 7 PM to 8 PM IST., Discussion Forum - answer in 1 working day",Course time not found,Ratings not found,Difficulty level not found,The data science revolution is well and truly disrupting multiple and diverse industries. It has become the centerpiece of strategic decision making for organizations. Are you prepared to enable it for your business and your current role?,https://courses.analyticsvidhya.com/bundles/introductory-data-science-for-business-managers
Introduction to NLP Basics - Analytics Vidhya,No key takeaways found,5 Hours,4.7/5,Beginner ,"Natural Language Processing is the art of extracting information from unstructured text. Learn basics of Natural Language Processing, Regular Expressions & text sentiment analysis using machine learning in this course.",https://courses.analyticsvidhya.com/courses/Intro-to-NLP
Explore Decision Tree Algorithm in Machine Learning Course,"Introduction to Decision Trees - The course starts with basics of Decision Trees, the philosophy behind decision tree algorithm and why they are so popular among data scientists, Terminologies related to decision trees - Don't worry if you don't know anything about Decision Trees - that is the whole point about this course. What is a Leaf Node? Parent Node? Pruning? We will teach you all of these terminologies related to decision tree in a practical manner., Different splitting criterion for decision tree like Gini, chi-square  The course teaches you different splitting criteria like Gini, Information Gain, chi-square and how do they impact the decision tree model, Implementation of decision tree in Python - The course will tell you several best practices you should keep in mind while implementing Decision Tree algorithm",Course time not found,Ratings not found,Difficulty level not found,"A Decision Tree is a flowchart like structure, where each node represents a decision, each branch represents an outcome of the decision, and each terminal node provides a prediction / label.",https://courses.analyticsvidhya.com/courses/getting-started-with-decision-trees
Introduction to Python for Data Science - Analytics Vidhya,No key takeaways found,1 Hour,4.8/5,Beginner,Do you want to enter the field of Data Science? Are you intimidated by the coding you would need to learn? Are you looking to learn Python to switch to a data science career?,https://courses.analyticsvidhya.com/courses/introduction-to-data-science
Access Loan Prediction Using machine learning Python ,No key takeaways found,4.7/5,Intermediate,Difficulty level not found,This course is designed for people who want to solve binary classification problems. Classification is a skill every Data Scientist should be well versed in.,https://courses.analyticsvidhya.com/courses/loan-prediction-practice-problem-using-python
Big Mart Sales Prediction Using R Course | Analytics Vidhya,No key takeaways found,4.6/5,Intermediate,Difficulty level not found,"Sales prediction is a very common real life problem that each company faces at least once in its life time. If done correctly, it can have a significant impact on the success and performance of that company.",https://courses.analyticsvidhya.com/courses/big-mart-sales-prediction-using-r
Twitter Sentiment Analysis Using Python - Analytics Vidhya,No key takeaways found,4.7/5,Intermediate,Difficulty level not found,,https://courses.analyticsvidhya.com/courses/twitter-sentiment-analysis
Grasp Understanding on Pandas in Python - Free Course,"Beginners in Python who are curious about Pandas and how to use it for data analysis and data manipulation, Anyone who wants to start their data science career (Pandas is the first library you‚Äôll import!), Anyone looking to get into a data analyst role using Python programming, Anyone who wants to jump from Excel into Python",Course time not found,Ratings not found,Difficulty level not found,"Pandas is one of the most popular Python libraries in data science. In fact, Pandas is among those elite libraries that draw instant recognition from programmers of all backgrounds, from developers to data scientists.",https://courses.analyticsvidhya.com/courses/pandas-for-data-analysis-in-python
Explore SVM Implementation in Python - A free Course,"Anyone who wants to start their machine learning career and is looking to learn the different machine learning algorithms, Anyone who wants to become a data scientist or a machine learning engineer, Anyone interested in learning how a classic machine learning algorithm like SVM works!",Course time not found,Ratings not found,Difficulty level not found,Want to learn the popular machine learning algorithm - Support Vector Machines (SVM)? Support Vector Machines can be used to build both Regression and Classification Machine Learning models.,https://courses.analyticsvidhya.com/courses/support-vector-machine-svm-in-python-and-r
Model Evaluation in Machine Learning Metrics,No key takeaways found,Course time not found,Ratings not found,Difficulty level not found,"Evaluation metrics form the backbone of improving your machine learning model. Without these evaluation metrics, we would be lost in a sea of machine learning model scores - unable to understand which model is performing well.",https://courses.analyticsvidhya.com/courses/evaluation-metrics-for-machine-learning-models
Fundamentals of Regression Analysis - Free Course,No key takeaways found,Course time not found,Ratings not found,Difficulty level not found,"Linear regression and logistic regression are typically the first algorithms we learn in data science. These are two key concepts not just in machine learning, but in statistics as well.",https://courses.analyticsvidhya.com/courses/Fundamentals-of-Regression-Analysis
Amp Up Your Knowledge of Scikit Learn for Machine Learning,No key takeaways found,Course time not found,Ratings not found,Difficulty level not found,"Scikit-learn, or sklearn for short, is the first Python library we turn to when building machine learning models. Sklearn is unanimously the favorite Python library among data scientists. As a newcomer to machine learning, you should be comfortable with sklearn and how to build ML models, including:",https://courses.analyticsvidhya.com/courses/get-started-with-scikit-learn-sklearn
Upskill Convolutional Neural Networks in Deep Learning,No key takeaways found,4.7/5,Advanced,Difficulty level not found,"Convolutional Neural Networks, or CNN as they’re popularly called, are the go-to deep learning architecture for computer vision tasks, such as object detection, image segmentation, facial recognition, among others. CNNs have even been extended to the field of video analysis!",https://courses.analyticsvidhya.com/courses/convolutional-neural-networks-cnn-from-scratch
Ace Dimensionality Reduction Techniques in Machine Learning,No key takeaways found,Course time not found,Ratings not found,Difficulty level not found,"Have you worked on a dataset with more than a thousand features? How about 40,000 features? We are generating data at an unprecedented pace right now and working with massive datasets in machine learning projects is becoming mainstream.",https://courses.analyticsvidhya.com/courses/dimensionality-reduction-for-machine-learning
Discover KNN Algorithm in Machine Learning,No key takeaways found,Course time not found,Ratings not found,Difficulty level not found,"K-Nearest Neighbor (KNN) is one of the most popular machine learning algorithms. As a newcomer or beginner in machine learning, you’ll find KNN to be among the easiest algorithms to pick up.",https://courses.analyticsvidhya.com/courses/K-Nearest-Neighbors-KNN-Algorithm
Unlock Free Ensemble Learning Algorithm Course,No key takeaways found,Course time not found,Ratings not found,Difficulty level not found,"Ensemble learning is a powerful machine learning algorithm that is used across industries by data science experts. The beauty of ensemble learning techniques is that they combine the predictions of multiple machine learning models. You must have used or come across several of these ensemble learning techniques in your machine learning journey:- Bagging- Boosting- Stacking- Blending, etc. These ensemble learning techniques include popular machine learning algorithms such as XGBoost, Gradient Boosting, among others. You must be getting a good idea of how vast and useful ensemble learning can be!",https://courses.analyticsvidhya.com/courses/ensemble-learning-and-ensemble-learning-techniques
Linear Programming for Data Science Professionals,No key takeaways found,Course time not found,Ratings not found,Difficulty level not found,Optimization is the way of life. We all have finite resources and time and we want to make the most of them. From using your time productively to solving supply chain problems for your company – everything uses optimization.,https://courses.analyticsvidhya.com/courses/linear-programming
Free Course on Naïve Bayes in Machine Learning from Scratch,No key takeaways found,30 Mins,4.6/5,Advanced,Naive Bayes ranks in the top echelons of the machine learning algorithms pantheon. It is a popular and widely used machine learning algorithm and is often the go-to technique when dealing with classification problems.,https://courses.analyticsvidhya.com/courses/naive-bayes
Learn Swift as a Programming Language - Analytics Vidhya,No key takeaways found,Course time not found,Ratings not found,Difficulty level not found,"he Swift programming language is quickly becoming the language of choice for a lot of data science experts and professionals. Swift’s flexibility, ease of use, excellent documentation, and quick execution speed are key reasons behind the language’s recent prominence in the data science space.",https://courses.analyticsvidhya.com/courses/learn-swift-for-data-science
Introduction to Web Scraping using Python,No key takeaways found,Course time not found,Ratings not found,Difficulty level not found,The need and importance of extracting data from the web is becoming increasingly loud and clear. There is an unprecedented volume of data on the internet right now - and data science projects often need this data to build predictive models.,https://courses.analyticsvidhya.com/courses/introduction-to-web-scraping
Learn Tableau for Data Visualization Program,No key takeaways found,15 Mins,4.6/5,Beginner ,"Tableau is the gold standard in business intelligence, analytics and data visualization tools. Tableau Desktop (and now Tableau Public) have transformed the way we interact with visualizations and tell data stories to our clients, stakeholders, and to non-technical audiences around the world.",https://courses.analyticsvidhya.com/courses/tableau-for-beginners
Getting Started with Neural Network- Free Course ,No key takeaways found,70 Mins,4.7/5,Beginner ,"What is a neural network? How does it work? What does a neural network do? Learn neural networks for free in this course and get your neural network questions answered, including applications of neural networks in deep learning.",https://courses.analyticsvidhya.com/courses/getting-started-with-neural-networks
Introduction to AI and ML - Free Course,"You will learn the current state of AI and ML, how they are disrupting businesses globally, Solid understanding of what AI and ML mean, what they represent in the current market and industry, how they work, and why you should learn about them.",2 Hours,4.8/5,Beginner,"Analytics Vidhyaâ€™s â€˜Introduction to AI and MLâ€™ course, curated and delivered by experienced instructors with decades of industry experience between them, will help you understand the answers to these pressing questions.",https://courses.analyticsvidhya.com/courses/introduction-to-ai-ml
Analytics Vidhya Data Science Hackathon,No key takeaways found,Course time not found,Ratings not found,Difficulty level not found,"There is no substitute for experience. And that holds true in Data Science competitions as well. These cut-throat hackathons require a lot of trial-and-error, effort, and dedication to reach the ranks of the elite.",https://courses.analyticsvidhya.com/courses/winning-data-science-hackathons-learn-from-elite-data-scientists
Hypothesis Testing for Data Science and Analytics ,"Fundamentals of Hypothesis Testing: The course begins with a simple-to-understand example on hypothesis testing. This chapter will clear all your basics like -  Null Hypothesis, Alternative Hypothesis, Type 1 Error, Type 2 Error, and Significance Level., p-value, What is the Z Test? The course introduces the most basic type of testing a hypothesis - Z test. Z tests are a statistical way of testing. The chapter covers the one sample as well as the two sample Z test., What is the t-Test? The t-test is another test for validating the hypothesis. The chapter begins with a unique example and later covers both the one-sample and two-sample t-test., Deciding between the Z Test and t-Test  Are you confused on how to use these tests? Don’t worry, the course comprises a simple step-by-step guide on choosing the best test for your experiment., Case Study: Hypothesis Testing for Coronavirus in Python You’ll get to put your theoretical knowledge into practice and see how well you can do. You will get to work on a hypothesis testing case study on the corona virus dataset in Python!",Course time not found,Ratings not found,Difficulty level not found,"Statistics is the study of the collection, analysis, interpretation, presentation, and organisation of data. For all the data science and machine learning enthusiasts it is paramount to be well versed with various statistical concepts such as Hypothesis testing",https://courses.analyticsvidhya.com/courses/hypothesis-testing-for-data-science-and-analytics
